ID_Cliente;Nombre_cliente;CEF;CLUB 200;CLUB CAMPESTRE;CSDE;CUR;F;FUERA DE SEDE;SEDE 95;VIRTUAL;ASAMBLEAS;CAPACITACIONES;CONGRESOS;CONVENCIONES;CULTURALES;FERIAS;FIESTAS Y CELEBRACIONES;LANZAMIENTOS;OTRO;RECREATIVOS;REUNIONES;SEMINARIOS;SOCIALES;Total Eventos
9233189;Tipo_P_104;0;0;0;585545,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;585545,6;0;0;585545,6
9233800;Tipo_P_423;0;0;0;0;0;0;7120200;0;0;0;0;0;0;0;0;7120200;0;0;0;0;0;0;7120200
9233971;Tipo_PN_34332;0;0;0;1191788;0;0;0;0;0;0;1191788;0;0;0;0;0;0;0;0;0;0;0;1191788
9235139;Tipo_PN_34138;0;0;242461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;242461;242461
9236227;Tipo_P_240;0;0;0;2314959;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2314959;0;0;2314959
9236264;Tipo_P_2846;0;0;0;2833361;0;0;0;0;0;0;0;0;0;0;2833361;0;0;0;0;0;0;0;2833361
9237064;Tipo_P_2143;0;0;0;816638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;816638;0;0;816638
9238359;Tipo_PN_34492;0;0;0;0;0;0;136000;0;0;0;0;0;0;136000;0;0;0;0;0;0;0;0;136000
9238734;Tipo_P_811;0;0;0;0;0;0;11100911;0;0;0;0;0;0;0;0;0;0;0;0;11100911;0;0;11100911
9240920;Tipo_PN_34197;0;0;0;11175342;0;0;0;0;0;0;0;0;0;0;0;570636;0;0;0;10604706;0;0;11175342
9241195;Tipo_P_1212;0;0;0;0;0;0;316470;0;0;0;0;0;0;0;0;0;0;0;0;316470;0;0;316470
9243034;Tipo_P_86;0;0;0;0;0;0;548800;0;0;0;0;0;0;0;0;0;0;0;548800;0;0;0;548800
9243443;Tipo_P_1600;0;0;0;0;0;0;1080332;0;0;0;0;0;0;0;0;0;0;0;0;1080332;0;0;1080332
9246090;Tipo_P_932;0;2248827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2248827;0;0;2248827
9248388;Tipo_P_1556;0;0;0;2857144;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2857144;0;0;2857144
9250645;Tipo_P_582;0;0;0;64210716,1;0;0;550000;0;0;0;2163613;0;0;0;0;32445998;0;0;0;30151105,1;0;0;64760716,1
9251181;Tipo_PN_34191;0;-131754;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-131754;-131754
9251629;Tipo_P_1079;0;0;0;812521;0;0;0;0;0;0;812521;0;0;0;0;0;0;0;0;0;0;0;812521
9252099;Tipo_P_1015;0;1122708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1122708;0;0;0;1122708
9253650;Tipo_P_2765;0;0;0;6490839;0;0;0;0;0;0;0;0;0;0;0;6490839;0;0;0;0;0;0;6490839
9254255;Tipo_P_1470;0;2539011;0;0;0;0;151632;3678800;0;0;0;0;0;0;0;0;0;0;0;6369443;0;0;6369443
9256487;Tipo_P_1927;0;1320374;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1320374;0;0;1320374
9256646;Tipo_P_994;0;461160;0;0;0;0;0;251933;0;0;0;0;0;0;0;0;0;0;0;713093;0;0;713093
9256967;Tipo_P_328;0;2200307;0;6490839;0;0;0;1094790;0;0;2163613;0;0;0;0;806387;2163613;0;1393920;3258403;0;0;9785936
9257042;Tipo_P_1361;0;0;0;0;0;0;23265353;0;0;0;0;820000;-820000;0;0;0;0;0;23265353;0;0;0;23265353
9258609;Tipo_PN_34301;0;0;0;0;0;0;136000;0;0;0;0;0;0;136000;0;0;0;0;0;0;0;0;136000
9258675;Tipo_P_2897;0;0;0;0;0;0;1980000;0;0;0;0;0;0;0;0;0;0;0;0;1980000;0;0;1980000
9259311;Tipo_PN_34160;0;0;0;0;0;0;255000;0;0;0;0;0;0;255000;0;0;0;0;0;0;0;0;255000
9260039;Tipo_P_64408;0;328992;0;0;0;0;0;0;0;0;0;0;0;0;0;328992;0;0;0;0;0;0;328992
9260455;Tipo_P_2755;0;0;0;0;0;0;0;0;11734270;0;0;0;0;0;0;0;0;0;11734270;0;0;0;11734270
9261360;Tipo_D_15;0;916711;0;18844996;0;0;294490273;0;0;0;2125547;0;0;3291560;0;86558085;0;0;56387334;165889454;0;0;314251980
9261740;Tipo_P_2129;0;0;0;0;0;0;0;600600;0;0;0;0;0;0;0;0;0;0;0;600600;0;0;600600
9262629;Tipo_P_2957;0;0;0;0;0;0;976855;0;0;0;0;0;0;0;0;0;0;0;976855;0;0;0;976855
9262672;Tipo_PN_34098;0;110288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110288;0;0;110288
